Dataset,Cache Ratio,Cache Size (GB),Method,Sampling Time (s),Training Time (s)
Ogbn-papers100M,10%,3+2,Ours,76.28,
Ogbn-papers100M,10%,5,Ginex,3581.95,537.91
Ogbn-papers100M,10%,5,MariusGNN,,205.23
Ogbn-papers100M,30%,10+5,Ours,45.19,
Ogbn-papers100M,30%,15,Ginex,3321.36,518.2
Ogbn-papers100M,30%,15,MariusGNN,,330.29
Ogbn-papers100M,50%,17+8,Ours,39.05,
Ogbn-papers100M,50%,25,Ginex,2848.73,484.52
Ogbn-papers100M,50%,25,MariusGNN,,572.6
MAG240M,10%,6+4,Ours,53.35,
MAG240M,10%,10,Ginex,2667.31,449.95
MAG240M,10%,10,MariusGNN,,166.47
MAG240M,30%,20+10,Ours,32.79,
MAG240M,30%,30,Ginex,1976.14,459.6
MAG240M,30%,30,MariusGNN,,320.6
MAG240M,50%,35+15,Ours,32.13,
MAG240M,50%,50,Ginex,2220.27,451.16
MAG240M,50%,50,MariusGNN,,566.43
Friendster,10%,2+2,Ours,96.67,
Friendster,10%,4,Ginex,1699.58,843.98
Friendster,10%,4,MariusGNN,,103.72
Friendster,30%,6+4,Ours,36.51,
Friendster,30%,10,Ginex,1697.73,341.65
Friendster,30%,10,MariusGNN,,248.39
Friendster,50%,10+5,Ours,28.12,
Friendster,50%,15,Ginex,1745.84,289.36
Friendster,50%,15,MariusGNN,,510.08
IGB-HOM,10%,10+5,Ours,960.73,
IGB-HOM,10%,15,Ginex,21006.52,7635.78
IGB-HOM,10%,15,MariusGNN,,1536.61
IGB-HOM,30%,30+15,Ours,312.71,
IGB-HOM,30%,45,Ginex,16098.41,4651.37
IGB-HOM,30%,45,MariusGNN,,2088.03
IGB-HOM,50%,60+15,Ours,324.61,
IGB-HOM,50%,75,Ginex,18273,4605.32
IGB-HOM,50%,75,MariusGNN,,2723.07
